1|220604|120|14035|1|1
2|220604|120|14036|2|0
3|220604|120|14136|5|0
4|220604|120|14125|6|1
5|220717|302|15323|1|1
6|220999|411|15702|1|1
7|221056|169|15640|1|0
8|221056|169|15639|2|1
9|221958|16|1685|2|0
10|221958|16|1686|3|1
11|221958|16|1695|5|0
12|221958|16|1650|11|1
13|222211|438|14304|17|0
14|222363|172|15728|2|1
15|222365|16|15640|1|0
16|222365|16|15639|2|1
17|222365|16|15623|4|0
18|222365|16|15622|5|1
19|222775|172|15000|1|0
20|222775|172|15022|2|0
21|222775|172|15026|8|1
22|222775|172|15728|3|1
23|223028|124|15745|1|1
24|223028|124|15750|2|1
25|223028|124|15747|3|0
26|223028|124|15700|5|1
27|223154|3013|15707|8|1
28|224069|100|15752|1|1
29|224590|30|15724|1|1
30|224719|100|15752|1|0
31|224979|100|15752|1|0
32|225283|442|15751|1|0
33|225283|442|15752|2|1
