1|198213|15103
2|198328|15261
3|198426|14568
4|198667|15103
5|198704|11804
6|198790|14975
7|198913|14304
8|198917|14804
9|198983|15103
10|199269|12724
11|199371|13179
12|199403|14568
13|199714|15141
14|200196|14456
15|200196|14745
16|200465|14987
17|200802|15252
18|200802|15103
19|200805|13604
20|201033|14815
21|201033|14260
22|201427|13604
23|201504|12211
24|201698|13241
25|202009|14007
26|202213|15439
27|202269|12031
28|202269|15439
29|202324|14933
30|202324|14161
31|202324|14987
32|202528|15439
33|202806|15103
34|202844|15103
