1|198213|13|15103|8
2|198328|26|15261|13
3|198426|11|14568|1
4|198426|11|14568|1
5|198667|13|15103|8
6|198704|18|11804|2
7|198790|28|14975|1
8|198913|8|14304|2
9|198917|18|14804|16
10|198983|12|15103|8
11|199269|6|12724|6
12|199371|6|13179|2
13|199403|12|14568|1
14|199403|12|14568|1
15|199714|19|15141|13
16|200196|12|14456|2
17|200196|12|14745|10
18|200465|9|14987|8
19|200802|14|15252|4
20|200802|14|15103|8
21|200805|17|13604|2
22|201033|16|14815|4
23|201033|16|14260|5
24|201427|17|13604|2
25|201427|17|13604|2
26|201504|30|12211|1
27|201698|4|13241|4
28|202009|14|14007|2
29|202213|5|15439|5
30|202269|5|12031|1
31|202269|5|15439|5
32|202324|8|14933|3
33|202324|8|14161|5
34|202324|8|14987|7
35|202528|10|15439|9
36|202806|7|15103|5
37|202844|14|15103|8
38|202844|14|15103|8
39|202844|14|15103|8
40|202844|14|15103|8
41|202844|14|15103|8
